lsoa,N,status
E01021815,8,outside_london
E01021835,8,outside_london
E01016048,8,outside_london
E01015891,8,outside_london
E01015972,8,outside_london
E01021460,8,outside_london
E01015787,8,outside_london
E01023870,8,outside_london
E01024281,8,outside_london
E01023930,8,outside_london
E01024474,8,outside_london
E01016457,8,outside_london
E01032731,8,outside_london
E01021270,8,outside_london
E01023309,8,outside_london
E01023852,8,outside_london
E01009242,8,outside_london
E01030641,8,outside_london
E01023517,8,outside_london
E01023871,8,outside_london
E01021758,8,outside_london
E01030502,8,outside_london
E01021291,8,outside_london
E01034360,8,outside_london
E01030671,8,outside_london
W01000636,8,outside_london
E01030380,8,outside_london
E01023318,8,outside_london
E01035272,8,outside_london
E01034744,8,outside_london
E01035517,8,outside_london
E01035282,8,outside_london
E01034356,8,outside_london
E01034574,8,outside_london
E01035601,8,outside_london
E01021598,7,outside_london
E01021267,7,outside_london
E01023525,7,outside_london
E01030737,7,outside_london
E01015941,7,outside_london
E01023856,7,outside_london
W01001825,7,outside_london
E01033141,7,outside_london
E01024317,7,outside_london
E01016554,7,outside_london
E01032836,7,outside_london
E01030344,7,outside_london
E01021245,7,outside_london
E01025627,7,outside_london
E01015705,7,outside_london
E01016140,7,outside_london
E01024613,7,outside_london
E01023395,7,outside_london
E01024550,7,outside_london
E01024671,7,outside_london
E01010521,7,outside_london
E01021945,7,outside_london
E01030645,7,outside_london
E01023236,7,outside_london
E01031587,7,outside_london
E01023758,7,outside_london
E01023578,7,outside_london
E01030615,7,outside_london
E01024436,7,outside_london
E01030861,7,outside_london
E01030458,7,outside_london
E01023561,7,outside_london
E01021451,7,outside_london
E01015742,7,outside_london
E01016128,7,outside_london
E01033505,7,outside_london
E01010109,7,outside_london
E01015231,7,outside_london
E01023544,7,outside_london
E01033756,7,outside_london
E01033523,7,outside_london
E01032729,7,outside_london
E01016513,7,outside_london
E01030719,7,outside_london
E01023526,7,outside_london
E01015986,7,outside_london
E01024387,7,outside_london
E01009201,7,outside_london
E01023908,7,outside_london
E01024158,7,outside_london
E01033090,7,outside_london
E01005189,7,outside_london
E01021634,7,outside_london
E01020989,7,outside_london
E01010368,7,outside_london
E01021339,7,outside_london
E01016037,7,outside_london
E01023902,7,outside_london
E01024426,7,outside_london
E01016957,7,outside_london
E01015711,7,outside_london
E01024340,7,outside_london
E01023925,7,outside_london
E01016397,7,outside_london
E01024468,7,outside_london
E01021550,7,outside_london
E01021261,7,outside_london
E01017958,7,outside_london
E01030366,7,outside_london
E01023864,7,outside_london
E01023918,7,outside_london
E01024413,7,outside_london
E01030851,7,outside_london
E01021269,7,outside_london
E01016015,7,outside_london
E01023326,7,outside_london
E01016018,7,outside_london
E01016477,7,outside_london
E01023934,7,outside_london
E01016406,7,outside_london
E01024279,7,outside_london
E01024406,7,outside_london
E01016475,7,outside_london
E01016509,7,outside_london
E01021438,7,outside_london
E01021920,7,outside_london
E01030740,7,outside_london
E01032807,7,outside_london
E01024568,7,outside_london
E01024258,7,outside_london
E01023534,7,outside_london
E01033308,7,outside_london
E01016949,7,outside_london
E01017514,7,outside_london
E01009075,7,outside_london
E01024187,7,outside_london
E01021860,7,outside_london
E01015702,7,outside_london
E01021882,7,outside_london
E01026806,7,outside_london
E01033421,7,outside_london
E01022018,7,outside_london
E01015950,7,outside_london
E01021311,7,outside_london
E01016463,7,outside_london
E01015955,7,outside_london
E01023553,7,outside_london
E01021867,7,outside_london
E01030413,7,outside_london
E01021802,7,outside_london
E01024316,7,outside_london
E01030299,7,outside_london
E01009053,7,outside_london
E01024122,7,outside_london
E01024284,7,outside_london
E01030365,7,outside_london
E01033458,7,outside_london
E01033144,7,outside_london
E01015773,7,outside_london
E01030524,7,outside_london
E01024435,7,outside_london
E01033092,7,outside_london
E01016124,7,outside_london
E01016417,7,outside_london
E01034991,7,outside_london
E01024816,7,outside_london
E01024471,7,outside_london
E01033625,7,outside_london
E01015958,7,outside_london
E01027320,7,outside_london
E01021582,7,outside_london
E01035598,7,outside_london
E01021319,7,outside_london
E01024047,7,outside_london
E01019705,7,outside_london
E01035562,7,outside_london
E01015930,7,outside_london
E01035576,7,outside_london
E01034361,7,outside_london
E01035597,7,outside_london
E01017617,6,outside_london
E01033313,6,outside_london
E01005316,6,outside_london
E01024416,6,outside_london
E01015905,6,outside_london
W01000850,6,outside_london
E01016520,6,outside_london
E01017473,6,outside_london
E01030620,6,outside_london
E01024646,6,outside_london
E01030993,6,outside_london
E01021330,6,outside_london
E01032867,6,outside_london
E01024473,6,outside_london
E01015959,6,outside_london
E01017706,6,outside_london
E01030417,6,outside_london
E01011444,6,outside_london
E01029059,6,outside_london
E01023817,6,outside_london
E01023866,6,outside_london
E01016536,6,outside_london
E01030455,6,outside_london
E01023535,6,outside_london
E01022086,6,outside_london
