borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000002,Barking and Dagenham,2017,life_expectancy_birth_female,82,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2015 to 2017 assigned to END year; higher_is_better; 95% CI 81.4-82.5"
E09000002,Barking and Dagenham,2017,life_expectancy_birth_male,77.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2015 to 2017 assigned to END year; higher_is_better; 95% CI 77.1-78.2"
E09000002,Barking and Dagenham,2018,life_expectancy_65_female,20.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2016 to 2018 assigned to END year; higher_is_better; 95% CI 19.8-20.8"
E09000002,Barking and Dagenham,2018,life_expectancy_65_male,17.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2016 to 2018 assigned to END year; higher_is_better; 95% CI 16.7-17.6"
E09000002,Barking and Dagenham,2018,life_expectancy_birth_female,82.5,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2016 to 2018 assigned to END year; higher_is_better; 95% CI 81.9-83"
E09000002,Barking and Dagenham,2018,life_expectancy_birth_male,77.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2016 to 2018 assigned to END year; higher_is_better; 95% CI 77.2-78.3"
E09000002,Barking and Dagenham,2019,life_expectancy_65_female,19.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2017 to 2019 assigned to END year; higher_is_better; 95% CI 19.5-20.4"
E09000002,Barking and Dagenham,2019,life_expectancy_65_male,17.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2017 to 2019 assigned to END year; higher_is_better; 95% CI 16.6-17.5"
E09000002,Barking and Dagenham,2019,life_expectancy_birth_female,82.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2017 to 2019 assigned to END year; higher_is_better; 95% CI 81.6-82.6"
E09000002,Barking and Dagenham,2019,life_expectancy_birth_male,77.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2017 to 2019 assigned to END year; higher_is_better; 95% CI 77.3-78.4"
E09000002,Barking and Dagenham,2020,life_expectancy_65_female,19.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2018 to 2020 assigned to END year; higher_is_better; 95% CI 19-19.9"
E09000002,Barking and Dagenham,2020,life_expectancy_65_male,16.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2018 to 2020 assigned to END year; higher_is_better; 95% CI 15.9-16.8"
E09000002,Barking and Dagenham,2020,life_expectancy_birth_female,81.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2018 to 2020 assigned to END year; higher_is_better; 95% CI 81-81.9"
E09000002,Barking and Dagenham,2020,life_expectancy_birth_male,76.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2018 to 2020 assigned to END year; higher_is_better; 95% CI 76.3-77.3"
E09000002,Barking and Dagenham,2021,life_expectancy_65_female,19.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2019 to 2021 assigned to END year; higher_is_better; 95% CI 18.7-19.6"
E09000002,Barking and Dagenham,2021,life_expectancy_65_male,15.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2019 to 2021 assigned to END year; higher_is_better; 95% CI 15.5-16.4"
E09000002,Barking and Dagenham,2021,life_expectancy_birth_female,80.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2019 to 2021 assigned to END year; higher_is_better; 95% CI 80.3-81.3"
E09000002,Barking and Dagenham,2021,life_expectancy_birth_male,76.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2019 to 2021 assigned to END year; higher_is_better; 95% CI 75.7-76.7"
E09000002,Barking and Dagenham,2022,life_expectancy_65_female,18.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2020 to 2022 assigned to END year; higher_is_better; 95% CI 18.5-19.3"
E09000002,Barking and Dagenham,2022,life_expectancy_65_male,16,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2020 to 2022 assigned to END year; higher_is_better; 95% CI 15.5-16.4"
E09000002,Barking and Dagenham,2022,life_expectancy_birth_female,80.5,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2020 to 2022 assigned to END year; higher_is_better; 95% CI 80-80.9"
E09000002,Barking and Dagenham,2022,life_expectancy_birth_male,76.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2020 to 2022 assigned to END year; higher_is_better; 95% CI 75.8-76.8"
E09000002,Barking and Dagenham,2023,life_expectancy_65_female,19.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2021 to 2023 assigned to END year; higher_is_better; 95% CI 18.9-19.8"
E09000002,Barking and Dagenham,2023,life_expectancy_65_male,16.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2021 to 2023 assigned to END year; higher_is_better; 95% CI 16.2-17.1"
E09000002,Barking and Dagenham,2023,life_expectancy_birth_female,81,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2021 to 2023 assigned to END year; higher_is_better; 95% CI 80.5-81.5"
E09000002,Barking and Dagenham,2023,life_expectancy_birth_male,77.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2021 to 2023 assigned to END year; higher_is_better; 95% CI 76.8-77.8"
E09000002,Barking and Dagenham,2024,life_expectancy_65_female,19.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2022 to 2024 assigned to END year; higher_is_better; 95% CI 19.4-20.2"
E09000002,Barking and Dagenham,2024,life_expectancy_65_male,17.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2022 to 2024 assigned to END year; higher_is_better; 95% CI 16.9-17.8"
E09000002,Barking and Dagenham,2024,life_expectancy_birth_female,81.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2022 to 2024 assigned to END year; higher_is_better; 95% CI 81.2-82.2"
E09000002,Barking and Dagenham,2024,life_expectancy_birth_male,78.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2022 to 2024 assigned to END year; higher_is_better; 95% CI 77.8-78.8"
E09000003,Barnet,2003,life_expectancy_65_female,20.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2001 to 2003 assigned to END year; higher_is_better; 95% CI 19.8-20.4"
E09000003,Barnet,2003,life_expectancy_65_male,17.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2001 to 2003 assigned to END year; higher_is_better; 95% CI 17.1-17.6"
E09000003,Barnet,2003,life_expectancy_birth_female,82.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2001 to 2003 assigned to END year; higher_is_better; 95% CI 81.8-82.6"
E09000003,Barnet,2003,life_expectancy_birth_male,78,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2001 to 2003 assigned to END year; higher_is_better; 95% CI 77.6-78.4"
E09000003,Barnet,2004,life_expectancy_65_female,20.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2002 to 2004 assigned to END year; higher_is_better; 95% CI 20.1-20.7"
E09000003,Barnet,2004,life_expectancy_65_male,17.6,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2002 to 2004 assigned to END year; higher_is_better; 95% CI 17.3-17.9"
E09000003,Barnet,2004,life_expectancy_birth_female,82.6,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2002 to 2004 assigned to END year; higher_is_better; 95% CI 82.3-83"
E09000003,Barnet,2004,life_expectancy_birth_male,78.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2002 to 2004 assigned to END year; higher_is_better; 95% CI 77.9-78.7"
E09000003,Barnet,2005,life_expectancy_65_female,20.6,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2003 to 2005 assigned to END year; higher_is_better; 95% CI 20.4-20.9"
E09000003,Barnet,2005,life_expectancy_65_male,17.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2003 to 2005 assigned to END year; higher_is_better; 95% CI 17.6-18.2"
E09000003,Barnet,2005,life_expectancy_birth_female,82.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2003 to 2005 assigned to END year; higher_is_better; 95% CI 82.6-83.3"
E09000003,Barnet,2005,life_expectancy_birth_male,78.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2003 to 2005 assigned to END year; higher_is_better; 95% CI 78-78.8"
E09000003,Barnet,2006,life_expectancy_65_female,20.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2004 to 2006 assigned to END year; higher_is_better; 95% CI 20.6-21.1"
E09000003,Barnet,2006,life_expectancy_65_male,18.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2004 to 2006 assigned to END year; higher_is_better; 95% CI 18-18.6"
E09000003,Barnet,2006,life_expectancy_birth_female,83.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2004 to 2006 assigned to END year; higher_is_better; 95% CI 83-83.7"
E09000003,Barnet,2006,life_expectancy_birth_male,78.9,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2004 to 2006 assigned to END year; higher_is_better; 95% CI 78.4-79.3"
E09000003,Barnet,2007,life_expectancy_65_female,21.1,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2005 to 2007 assigned to END year; higher_is_better; 95% CI 20.9-21.4"
E09000003,Barnet,2007,life_expectancy_65_male,18.6,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2005 to 2007 assigned to END year; higher_is_better; 95% CI 18.3-18.9"
E09000003,Barnet,2007,life_expectancy_birth_female,83.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2005 to 2007 assigned to END year; higher_is_better; 95% CI 83.1-83.8"
E09000003,Barnet,2007,life_expectancy_birth_male,79.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2005 to 2007 assigned to END year; higher_is_better; 95% CI 78.9-79.7"
E09000003,Barnet,2008,life_expectancy_65_female,21.4,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2006 to 2008 assigned to END year; higher_is_better; 95% CI 21.2-21.7"
E09000003,Barnet,2008,life_expectancy_65_male,18.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2006 to 2008 assigned to END year; higher_is_better; 95% CI 18.5-19.1"
