borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000003,Barnet,2004,income_taxpayers,155000,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; supplementary
E09000003,Barnet,2005,income_mean,35600,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; supplementary
E09000003,Barnet,2005,income_median,21200,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; analysis metric
E09000003,Barnet,2005,income_taxpayers,161000,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; supplementary
E09000003,Barnet,2006,income_mean,36700,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; supplementary
E09000003,Barnet,2006,income_median,20400,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; analysis metric
E09000003,Barnet,2006,income_taxpayers,173000,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; supplementary
E09000003,Barnet,2007,income_mean,38700,HMRC personal income by tax year (London Datastore),borough,financial year 2007-08 assigned to start year; supplementary
E09000003,Barnet,2007,income_median,22000,HMRC personal income by tax year (London Datastore),borough,financial year 2007-08 assigned to start year; analysis metric
E09000003,Barnet,2007,income_taxpayers,173000,HMRC personal income by tax year (London Datastore),borough,financial year 2007-08 assigned to start year; supplementary
E09000003,Barnet,2009,income_mean,41600,HMRC personal income by tax year (London Datastore),borough,financial year 2009-10 assigned to start year; supplementary
E09000003,Barnet,2009,income_median,24300,HMRC personal income by tax year (London Datastore),borough,financial year 2009-10 assigned to start year; analysis metric
E09000003,Barnet,2009,income_taxpayers,167000,HMRC personal income by tax year (London Datastore),borough,financial year 2009-10 assigned to start year; supplementary
E09000003,Barnet,2010,income_mean,38800,HMRC personal income by tax year (London Datastore),borough,financial year 2010-11 assigned to start year; supplementary
E09000003,Barnet,2010,income_median,24100,HMRC personal income by tax year (London Datastore),borough,financial year 2010-11 assigned to start year; analysis metric
E09000003,Barnet,2010,income_taxpayers,176000,HMRC personal income by tax year (London Datastore),borough,financial year 2010-11 assigned to start year; supplementary
E09000003,Barnet,2011,income_mean,39200,HMRC personal income by tax year (London Datastore),borough,financial year 2011-12 assigned to start year; supplementary
E09000003,Barnet,2011,income_median,24200,HMRC personal income by tax year (London Datastore),borough,financial year 2011-12 assigned to start year; analysis metric
E09000003,Barnet,2011,income_taxpayers,179000,HMRC personal income by tax year (London Datastore),borough,financial year 2011-12 assigned to start year; supplementary
E09000003,Barnet,2012,income_mean,41000,HMRC personal income by tax year (London Datastore),borough,financial year 2012-13 assigned to start year; supplementary
E09000003,Barnet,2012,income_median,25800,HMRC personal income by tax year (London Datastore),borough,financial year 2012-13 assigned to start year; analysis metric
E09000003,Barnet,2012,income_taxpayers,172000,HMRC personal income by tax year (London Datastore),borough,financial year 2012-13 assigned to start year; supplementary
E09000003,Barnet,2013,income_mean,45500,HMRC personal income by tax year (London Datastore),borough,financial year 2013-14 assigned to start year; supplementary
E09000003,Barnet,2013,income_median,26800,HMRC personal income by tax year (London Datastore),borough,financial year 2013-14 assigned to start year; analysis metric
E09000003,Barnet,2013,income_taxpayers,167000,HMRC personal income by tax year (London Datastore),borough,financial year 2013-14 assigned to start year; supplementary
E09000003,Barnet,2014,income_mean,45800,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; supplementary
E09000003,Barnet,2014,income_median,27100,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; analysis metric
E09000003,Barnet,2014,income_taxpayers,175000,HMRC personal income by tax year (London Datastore),borough,financial year 2014-15 assigned to start year; supplementary
E09000003,Barnet,2015,income_mean,49000,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; supplementary
E09000003,Barnet,2015,income_median,27700,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; analysis metric
E09000003,Barnet,2015,income_taxpayers,178000,HMRC personal income by tax year (London Datastore),borough,financial year 2015-16 assigned to start year; supplementary
E09000003,Barnet,2016,income_mean,48600,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; supplementary
E09000003,Barnet,2016,income_median,28800,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; analysis metric
E09000003,Barnet,2016,income_taxpayers,180000,HMRC personal income by tax year (London Datastore),borough,financial year 2016-17 assigned to start year; supplementary
E09000003,Barnet,2017,income_mean,49500,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; supplementary
E09000003,Barnet,2017,income_median,28700,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; analysis metric
E09000003,Barnet,2017,income_taxpayers,188000,HMRC personal income by tax year (London Datastore),borough,financial year 2017-18 assigned to start year; supplementary
E09000003,Barnet,2018,income_mean,51600,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; supplementary
E09000003,Barnet,2018,income_median,29900,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; analysis metric
E09000003,Barnet,2018,income_taxpayers,188000,HMRC personal income by tax year (London Datastore),borough,financial year 2018-19 assigned to start year; supplementary
E09000003,Barnet,2019,income_mean,51600,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; supplementary
E09000003,Barnet,2019,income_median,30700,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; analysis metric
E09000003,Barnet,2019,income_taxpayers,192000,HMRC personal income by tax year (London Datastore),borough,financial year 2019-20 assigned to start year; supplementary
E09000003,Barnet,2020,income_mean,54400,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; supplementary
E09000003,Barnet,2020,income_median,32200,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; analysis metric
E09000003,Barnet,2020,income_taxpayers,189000,HMRC personal income by tax year (London Datastore),borough,financial year 2020-21 assigned to start year; supplementary
E09000003,Barnet,2021,income_mean,59100,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; supplementary
E09000003,Barnet,2021,income_median,33500,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; analysis metric
E09000003,Barnet,2021,income_taxpayers,190000,HMRC personal income by tax year (London Datastore),borough,financial year 2021-22 assigned to start year; supplementary
E09000003,Barnet,2022,income_mean,59800,HMRC personal income by tax year (London Datastore),borough,financial year 2022-23 assigned to start year; supplementary
E09000003,Barnet,2022,income_median,34400,HMRC personal income by tax year (London Datastore),borough,financial year 2022-23 assigned to start year; analysis metric
E09000003,Barnet,2022,income_taxpayers,198000,HMRC personal income by tax year (London Datastore),borough,financial year 2022-23 assigned to start year; supplementary
E09000003,Barnet,2023,income_mean,61600,HMRC personal income by tax year (London Datastore),borough,financial year 2023-24 assigned to start year; supplementary
E09000003,Barnet,2023,income_median,36100,HMRC personal income by tax year (London Datastore),borough,financial year 2023-24 assigned to start year; analysis metric
E09000003,Barnet,2023,income_taxpayers,216000,HMRC personal income by tax year (London Datastore),borough,financial year 2023-24 assigned to start year; supplementary
E09000004,Bexley,1999,income_mean,20500,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; supplementary
