borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000008,Croydon,2018,crime_rate_per_1000,97.58,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2019,crime_rate_per_1000,101.1,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2020,crime_rate_per_1000,119.65,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2021,crime_rate_per_1000,109.3,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2022,crime_rate_per_1000,107.48,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2023,crime_rate_per_1000,101.57,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000008,Croydon,2024,crime_rate_per_1000,106.26,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2011,crime_rate_per_1000,150.01,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2012,crime_rate_per_1000,129.35,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2013,crime_rate_per_1000,108.36,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2014,crime_rate_per_1000,100.29,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2015,crime_rate_per_1000,100.37,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2016,crime_rate_per_1000,103.51,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2017,crime_rate_per_1000,102.78,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2018,crime_rate_per_1000,102.05,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2019,crime_rate_per_1000,108.3,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2020,crime_rate_per_1000,121.34,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2021,crime_rate_per_1000,107.76,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2022,crime_rate_per_1000,106.26,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2023,crime_rate_per_1000,108.5,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000009,Ealing,2024,crime_rate_per_1000,108.37,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2011,crime_rate_per_1000,122.79,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2012,crime_rate_per_1000,107.97,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2013,crime_rate_per_1000,98.5,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2014,crime_rate_per_1000,92.24,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2015,crime_rate_per_1000,88.64,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2016,crime_rate_per_1000,92.61,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2017,crime_rate_per_1000,97.28,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2018,crime_rate_per_1000,106.11,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2019,crime_rate_per_1000,109.1,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2020,crime_rate_per_1000,127.84,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2021,crime_rate_per_1000,116.53,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2022,crime_rate_per_1000,116.3,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2023,crime_rate_per_1000,113.69,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000010,Enfield,2024,crime_rate_per_1000,113.92,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2011,crime_rate_per_1000,137.42,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2012,crime_rate_per_1000,121.23,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2013,crime_rate_per_1000,103.71,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2014,crime_rate_per_1000,98.01,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2015,crime_rate_per_1000,97.39,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2016,crime_rate_per_1000,105.22,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000011,Greenwich,2017,crime_rate_per_1000,109.77,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
